date,open,high,low,close,adj_close,volume
2024-04-05,514.4600,520.4400,514.0100,518.4300,504.8122,74546500
2024-04-08,519.1500,520.1800,517.8900,518.7200,505.0946,48401800
2024-04-09,520.5000,520.7500,514.3500,519.3200,505.6788,68049200
2024-04-10,513.4800,516.1600,512.0900,514.1200,500.6154,82652800
2024-04-11,515.6800,519.4800,512.0800,518.0000,504.3936,70099000
2024-04-12,514.3700,515.8200,509.0800,510.8500,497.4314,92561100
2024-04-15,515.1300,515.3000,503.5800,504.4500,491.1995,92101400
2024-04-16,504.9400,506.5000,502.2100,503.5300,490.3036,73484000
2024-04-17,506.0500,506.2200,499.1200,500.5500,487.4019,75910300
2024-04-18,501.9800,504.1300,498.5600,499.5200,486.3990,74548100
2024-04-19,499.4400,500.4600,493.8600,495.1600,482.1535,102212600
2024-04-22,497.8300,502.3800,495.4300,499.7200,486.5937,67961000
2024-04-23,501.7800,506.0900,499.5300,505.6500,492.3679,64633600
2024-04-24,506.5600,507.3700,503.1300,505.4100,492.1342,55928100
2024-04-25,499.1800,504.2700,497.4900,503.4900,490.2647,69122400
2024-04-26,506.3500,509.8800,505.7000,508.2600,494.9094,64306100
2024-04-29,510.0900,510.7500,507.2500,510.0600,496.6621,46415400
2024-04-30,508.5600,509.5600,501.9800,501.9800,488.7944,77483600
2024-05-01,501.3800,508.1900,499.8700,500.3500,487.2071,80242800
2024-05-02,504.1500,505.8900,499.5500,505.0300,491.7642,62550200
2024-05-03,511.1600,512.5500,508.5600,511.2900,497.8598,72756700
2024-05-06,513.7500,516.6100,513.3000,516.5700,503.0011,47264700
2024-05-07,517.5600,518.5700,516.4500,517.1400,503.5562,52561300
2024-05-08,515.2600,517.7400,515.1400,517.1900,503.6048,42047200
2024-05-09,517.3800,520.2100,516.7100,520.1700,506.5065,43643700
2024-05-10,521.8100,522.6400,519.5900,520.8400,507.1590,52233200
2024-05-13,522.5600,522.6700,519.7400,520.9100,507.2271,36716400
2024-05-14,521.1100,523.8300,520.5600,523.3000,509.5544,57535900
2024-05-15,525.8300,530.0800,525.1800,529.7800,515.8641,59504900
2024-05-16,529.8800,531.5200,528.5400,528.6900,514.8027,50244800
2024-05-17,528.8100,529.5200,527.3200,529.4500,515.5428,59187600
2024-05-20,529.5700,531.5600,529.1700,530.0600,516.1367,37764200
2024-05-21,529.2800,531.5200,529.0700,531.3600,517.4025,33437000
2024-05-22,530.6500,531.3800,527.6000,529.8300,515.9128,48390000
2024-05-23,532.9600,533.0700,524.7200,525.9600,512.1445,57211200
2024-05-24,527.8500,530.2700,526.8800,529.4400,515.5331,41291100
2024-05-28,530.2700,530.5100,527.1100,529.8100,515.8934,36269600
2024-05-29,525.6800,527.3100,525.3700,526.1000,512.2808,45190300
2024-05-30,524.5200,525.2000,521.3300,522.6100,508.8824,46377600
2024-05-31,523.5900,527.5000,518.3600,527.3700,513.5174,90785800
2024-06-03,529.0200,529.3100,522.6000,527.8000,513.9360,46835700
2024-06-04,526.4600,529.1500,524.9600,528.3900,514.5107,34632700
2024-06-05,530.7700,534.6900,528.7300,534.6700,520.6257,47610400
2024-06-06,534.9800,535.4200,532.6800,534.6600,520.6159,30808500
2024-06-07,533.6600,536.8900,532.5400,534.0100,519.9830,43224500
2024-06-10,533.1800,535.9900,532.5700,535.6600,521.5896,35686100
2024-06-11,534.0700,537.0100,532.0500,536.9500,522.8457,36383400
2024-06-12,541.6300,544.1200,540.3000,541.3600,527.1399,63251300
2024-06-13,543.1500,543.3300,539.5900,542.4500,528.2013,44760900
2024-06-14,540.8800,542.8100,539.8500,542.7800,528.5226,40089900
2024-06-17,542.0800,548.5300,541.6100,547.1000,532.7292,55839500
2024-06-18,547.1600,548.6200,546.7300,548.4900,534.0827,41376400
2024-06-20,549.4400,550.1200,545.1800,547.0000,532.6318,70328200
